number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
0,2.946859836578369,2020-06-23 03:31:00.346738,2020-06-23 03:36:33.467346,0 days 00:05:33.120608000,32,0.995,0.0001342822543883346,100000,0.5580326760327561,adaptive-param,True,False,COMPLETE
1,2.937476634979248,2020-06-23 03:36:33.468588,2020-06-23 03:41:17.720589,0 days 00:04:44.252001000,16,0.995,0.00972975132977695,100000,0.29711548171965974,adaptive-param,False,True,COMPLETE
2,1.8181333541870117,2020-06-23 03:41:17.721805,2020-06-23 03:45:06.312527,0 days 00:03:48.590722000,64,0.99,0.0005438210243893905,1000000,0.4482322293319382,normal,False,False,COMPLETE
3,3.9569225311279297,2020-06-23 03:45:06.313747,2020-06-23 03:48:45.175824,0 days 00:03:38.862077000,16,0.995,0.0114567237691033,1000000,0.8024649549556547,ornstein-uhlenbeck,False,False,COMPLETE
4,1.8812711238861084,2020-06-23 03:48:45.177138,2020-06-23 03:53:52.014725,0 days 00:05:06.837587000,256,0.999,0.00015967009067487833,10000,0.36272707233622925,normal,False,True,COMPLETE
5,2.2897629737854004,2020-06-23 03:53:52.016072,2020-06-23 03:59:07.475904,0 days 00:05:15.459832000,128,0.9,0.2201188492857039,10000,0.6152549376879154,ornstein-uhlenbeck,True,True,COMPLETE
6,1.8745384216308594,2020-06-23 03:59:07.477158,2020-06-23 04:03:04.806235,0 days 00:03:57.329077000,64,0.99,0.0036329730670945637,100000,0.14179273678065918,normal,False,False,COMPLETE
7,2.6848366260528564,2020-06-23 04:03:04.807491,2020-06-23 04:08:16.313677,0 days 00:05:11.506186000,256,0.9,0.8113530879842901,10000,0.8107823193814643,ornstein-uhlenbeck,False,False,COMPLETE
8,2.3078999519348145,2020-06-23 04:08:16.314985,2020-06-23 04:11:56.488944,0 days 00:03:40.173959000,16,0.95,0.0021755632832957702,1000000,0.037440370278440493,normal,False,False,COMPLETE
9,2.6537365913391113,2020-06-23 04:11:56.490219,2020-06-23 04:17:30.401779,0 days 00:05:33.911560000,32,0.99,0.0038451487910099833,1000000,0.33734389001493625,adaptive-param,True,False,COMPLETE
10,2.267268180847168,2020-06-23 04:17:30.403146,2020-06-23 04:21:22.362256,0 days 00:03:51.959110000,64,0.9999,1.1292345163957959e-05,1000000,0.7055769339394039,normal,False,False,COMPLETE
11,1.5335451364517212,2020-06-23 04:21:22.363548,2020-06-23 04:25:08.325622,0 days 00:03:45.962074000,64,0.99,0.0003958480765082016,100000,0.0665025312800171,normal,False,False,COMPLETE
12,2.9211859703063965,2020-06-23 04:25:08.326994,2020-06-23 04:29:03.976986,0 days 00:03:55.649992000,64,0.98,0.00023800912140322557,100000,0.9942851381076593,normal,False,False,COMPLETE
13,1.7700397968292236,2020-06-23 04:29:03.978380,2020-06-23 04:33:04.693573,0 days 00:04:00.715193000,64,0.99,0.0005065776570607385,100000,0.026864512338110907,normal,False,False,COMPLETE
14,1.589341402053833,2020-06-23 04:33:04.694987,2020-06-23 04:36:52.493773,0 days 00:03:47.798786000,64,0.99,1.1009001399495807e-05,100000,0.0011502636892679469,normal,False,False,COMPLETE
15,2.668844699859619,2020-06-23 04:36:52.495162,2020-06-23 04:40:43.229194,0 days 00:03:50.734032000,64,0.99,1.1776026972560574e-05,100000,0.1608584981320866,normal,False,False,COMPLETE
16,1.3449933528900146,2020-06-23 04:40:43.230594,2020-06-23 04:45:01.840419,0 days 00:04:18.609825000,128,0.99,3.660515456326558e-05,100000,0.16389932035836563,normal,False,True,COMPLETE
17,1.457864761352539,2020-06-23 04:45:01.841830,2020-06-23 04:49:55.567430,0 days 00:04:53.725600000,128,0.9999,3.974369469273536e-05,100000,0.17315062651232724,normal,True,True,COMPLETE
18,0.971575140953064,2020-06-23 04:49:55.568848,2020-06-23 04:54:51.076267,0 days 00:04:55.507419000,128,0.9999,4.4184479321701026e-05,100000,0.20528143488102887,normal,True,True,COMPLETE
19,1.616662621498108,2020-06-23 04:54:51.077722,2020-06-23 04:59:48.092787,0 days 00:04:57.015065000,128,0.9999,4.555960976738049e-05,100000,0.2870701767133041,normal,True,True,COMPLETE
20,2.977713108062744,2020-06-23 04:59:48.094220,2020-06-23 05:06:27.546643,0 days 00:06:39.452423000,128,0.95,4.6838194842050705e-05,100000,0.44267198639530236,adaptive-param,True,True,COMPLETE
21,1.3171476125717163,2020-06-23 05:06:27.548131,2020-06-23 05:11:25.641618,0 days 00:04:58.093487000,128,0.9999,4.03724215035374e-05,100000,0.17812770883244164,normal,True,True,COMPLETE
22,1.3365892171859741,2020-06-23 05:11:25.642981,2020-06-23 05:16:07.193340,0 days 00:04:41.550359000,128,0.9999,3.717016419389861e-05,100000,0.21739870680332407,normal,True,True,COMPLETE
23,1.644269347190857,2020-06-23 05:16:07.194746,2020-06-23 05:20:48.576893,0 days 00:04:41.382147000,128,0.9999,8.813233588079651e-05,100000,0.23923565767719707,normal,True,True,COMPLETE
24,1.9085575342178345,2020-06-23 05:20:48.578279,2020-06-23 05:25:32.490290,0 days 00:04:43.912011000,128,0.9999,1.664522666495631e-05,100000,0.39858735097924014,normal,True,True,COMPLETE
25,2.059504508972168,2020-06-23 05:25:32.491697,2020-06-23 05:30:15.943022,0 days 00:04:43.451325000,128,0.9999,0.000920797587081875,100000,0.25426099433968663,ornstein-uhlenbeck,True,True,COMPLETE
26,1.6373943090438843,2020-06-23 05:30:15.944437,2020-06-23 05:34:56.034503,0 days 00:04:40.090066000,128,0.9999,2.2454745739370296e-05,10000,0.10762148425088257,normal,True,True,COMPLETE
27,1.7160718441009521,2020-06-23 05:34:56.035921,2020-06-23 05:39:39.813194,0 days 00:04:43.777273000,128,0.999,9.218294793365433e-05,100000,0.2289936836339909,normal,True,True,COMPLETE
28,5.7462310791015625,2020-06-23 05:39:39.814655,2020-06-23 05:41:25.412306,0 days 00:01:45.597651000,128,0.98,0.12299206331318405,100000,0.08410153444732951,normal,True,True,PRUNED
29,3.649573564529419,2020-06-23 05:41:25.592635,2020-06-23 05:46:41.749085,0 days 00:05:16.156450000,32,0.9999,9.590645514882507e-05,100000,0.5640898323479715,adaptive-param,True,True,COMPLETE
30,1.6839020252227783,2020-06-23 05:46:41.750548,2020-06-23 05:51:22.998614,0 days 00:04:41.248066000,128,0.9999,0.0002221535544742921,100000,0.20001754318208984,normal,True,True,COMPLETE
31,2.646470069885254,2020-06-23 05:51:23.000061,2020-06-23 05:56:03.514746,0 days 00:04:40.514685000,128,0.9999,3.115317471031947e-05,100000,0.12069141839679694,normal,True,True,COMPLETE
32,1.3921148777008057,2020-06-23 05:56:03.516214,2020-06-23 06:00:44.328430,0 days 00:04:40.812216000,128,0.9999,6.0885770216303514e-05,100000,0.28483494803421383,normal,True,True,COMPLETE
33,2.4363796710968018,2020-06-23 06:00:44.329903,2020-06-23 06:05:23.659914,0 days 00:04:39.330011000,128,0.995,2.3311347124239893e-05,100000,0.20159006280071345,normal,True,True,COMPLETE
34,2.086883783340454,2020-06-23 06:05:23.661410,2020-06-23 06:10:02.789153,0 days 00:04:39.127743000,128,0.9999,0.00016200776861309289,100000,0.33040709870304474,normal,True,True,COMPLETE
35,0.8065962791442871,2020-06-23 06:10:02.790646,2020-06-23 06:17:50.543023,0 days 00:07:47.752377000,256,0.999,1.0066416439777964e-05,100000,0.4711262569121476,adaptive-param,True,True,COMPLETE
36,2.079890489578247,2020-06-23 06:17:50.544539,2020-06-23 06:21:47.185256,0 days 00:03:56.640717000,256,0.999,1.056680986957437e-05,100000,0.5122272966096957,adaptive-param,True,True,PRUNED
37,1.4998396635055542,2020-06-23 06:21:47.413386,2020-06-23 06:29:22.022942,0 days 00:07:34.609556000,256,0.999,0.0009409891951568334,10000,0.3882945173287152,adaptive-param,True,True,COMPLETE
38,2.877843141555786,2020-06-23 06:29:22.024505,2020-06-23 06:32:49.832965,0 days 00:03:27.808460000,256,0.999,1.748929845805566e-05,100000,0.4473616834883566,adaptive-param,True,True,PRUNED
39,3.961031675338745,2020-06-23 06:32:50.056652,2020-06-23 06:35:10.496075,0 days 00:02:20.439423000,16,0.9,0.013145568687825734,1000000,0.5166786120425694,adaptive-param,True,True,PRUNED
40,2.7159810066223145,2020-06-23 06:35:10.719460,2020-06-23 06:38:41.203273,0 days 00:03:30.483813000,256,0.995,7.284644446158588e-05,10000,0.5959170830114402,adaptive-param,True,True,PRUNED
41,1.545121431350708,2020-06-23 06:38:41.415847,2020-06-23 06:42:46.736855,0 days 00:04:05.321008000,32,0.999,3.2193694463243525e-05,100000,0.685186618442292,ornstein-uhlenbeck,True,True,COMPLETE
42,1.721764326095581,2020-06-23 06:42:46.738465,2020-06-23 06:48:14.873478,0 days 00:05:28.135013000,256,0.95,0.0001616211180123734,100000,0.3060256898708251,normal,True,True,COMPLETE
43,0.8717036247253418,2020-06-23 06:48:14.875047,2020-06-23 06:51:38.456839,0 days 00:03:23.581792000,16,0.98,1.8394645946280582e-05,100000,0.1449564650482176,ornstein-uhlenbeck,False,True,COMPLETE
44,2.5763983726501465,2020-06-23 06:51:38.458405,2020-06-23 06:55:39.336657,0 days 00:04:00.878252000,16,0.98,1.7390991602650547e-05,100000,0.07863326729911775,ornstein-uhlenbeck,True,True,COMPLETE
45,2.476454734802246,2020-06-23 06:55:39.338226,2020-06-23 06:59:01.556432,0 days 00:03:22.218206000,16,0.98,1.0067431566854636e-05,1000000,0.9378919069613623,ornstein-uhlenbeck,False,True,COMPLETE
46,5.854259967803955,2020-06-23 06:59:01.558004,2020-06-23 07:03:02.096214,0 days 00:04:00.538210000,16,0.98,0.0002845705734922447,100000,0.004860056488866421,ornstein-uhlenbeck,True,True,COMPLETE
47,1.0176743268966675,2020-06-23 07:03:02.097723,2020-06-23 07:06:24.333106,0 days 00:03:22.235383000,16,0.9,2.2144526351029504e-05,100000,0.36327597113495,ornstein-uhlenbeck,False,True,COMPLETE
48,3.064818859100342,2020-06-23 07:06:24.334762,2020-06-23 07:07:41.491891,0 days 00:01:17.157129000,16,0.9,0.046226809744285745,100000,0.36713257976217617,ornstein-uhlenbeck,False,True,PRUNED
49,1.0942782163619995,2020-06-23 07:07:41.671028,2020-06-23 07:11:04.135382,0 days 00:03:22.464354000,16,0.9,1.4888740934028123e-05,100000,0.4042947204536911,ornstein-uhlenbeck,False,True,COMPLETE
50,1.1376267671585083,2020-06-23 07:11:04.137031,2020-06-23 07:14:26.282398,0 days 00:03:22.145367000,16,0.9,1.0543540254490372e-05,1000000,0.413749573985507,ornstein-uhlenbeck,False,True,COMPLETE
51,1.539232611656189,2020-06-23 07:14:26.284055,2020-06-23 07:17:48.791214,0 days 00:03:22.507159000,16,0.9,1.371516541838554e-05,1000000,0.42339100063611246,ornstein-uhlenbeck,False,True,COMPLETE
52,1.5961694717407227,2020-06-23 07:17:48.792827,2020-06-23 07:21:11.256381,0 days 00:03:22.463554000,16,0.9,2.2675382245811266e-05,1000000,0.47786498339983113,ornstein-uhlenbeck,False,True,COMPLETE
53,2.0995006561279297,2020-06-23 07:21:11.257997,2020-06-23 07:24:33.093841,0 days 00:03:21.835844000,16,0.9,1.0422118586762098e-05,1000000,0.3383404935279809,ornstein-uhlenbeck,False,True,COMPLETE
54,1.7821495532989502,2020-06-23 07:24:33.095487,2020-06-23 07:27:55.257780,0 days 00:03:22.162293000,16,0.9,1.0051030691540847e-05,1000000,0.476164846238587,ornstein-uhlenbeck,False,True,COMPLETE
55,1.3905025720596313,2020-06-23 07:27:55.259495,2020-06-23 07:31:18.904709,0 days 00:03:23.645214000,16,0.9,2.4371293670167913e-05,1000000,0.5538320308334885,ornstein-uhlenbeck,False,True,COMPLETE
56,2.0012564659118652,2020-06-23 07:31:18.906450,2020-06-23 07:34:40.918870,0 days 00:03:22.012420000,16,0.9,5.192603932691179e-05,100000,0.4162642595806183,ornstein-uhlenbeck,False,True,COMPLETE
57,1.556099534034729,2020-06-23 07:34:40.920570,2020-06-23 07:38:06.486723,0 days 00:03:25.566153000,16,0.9,1.5220869975395485e-05,100000,0.2673527565054317,ornstein-uhlenbeck,False,True,COMPLETE
58,1.5908371210098267,2020-06-23 07:38:06.488418,2020-06-23 07:41:31.168137,0 days 00:03:24.679719000,16,0.9,2.52647510597067e-05,10000,0.362562924779783,ornstein-uhlenbeck,False,True,COMPLETE
59,1.4315299987792969,2020-06-23 07:41:31.169825,2020-06-23 07:44:53.044103,0 days 00:03:21.874278000,16,0.98,5.7442075010355976e-05,100000,0.6459181904341136,ornstein-uhlenbeck,False,True,COMPLETE
60,5.020648002624512,2020-06-23 07:44:53.045797,2020-06-23 07:46:09.297108,0 days 00:01:16.251311000,16,0.9,0.7973927295400511,1000000,0.4778019001011646,ornstein-uhlenbeck,False,False,PRUNED
61,1.8460187911987305,2020-06-23 07:46:09.475659,2020-06-23 07:50:59.343172,0 days 00:04:49.867513000,256,0.95,0.00011647407484227188,100000,0.151147383104695,ornstein-uhlenbeck,False,True,COMPLETE
62,1.4523566961288452,2020-06-23 07:50:59.344896,2020-06-23 07:54:28.994853,0 days 00:03:29.649957000,32,0.999,3.772766091336356e-05,100000,0.3025599309004476,ornstein-uhlenbeck,False,True,COMPLETE
63,1.7969331741333008,2020-06-23 07:54:28.996589,2020-06-23 07:57:51.703604,0 days 00:03:22.707015000,16,0.9,1.4591343168625355e-05,100000,0.18707852370487316,ornstein-uhlenbeck,False,True,COMPLETE
64,2.025301933288574,2020-06-23 07:57:51.705356,2020-06-23 08:02:16.963780,0 days 00:04:25.258424000,16,0.98,1.8732429055637952e-05,100000,0.5441162098148892,adaptive-param,False,True,COMPLETE
65,2.8451550006866455,2020-06-23 08:02:16.965515,2020-06-23 08:04:00.366848,0 days 00:01:43.401333000,16,0.995,2.9829543795415953e-05,100000,0.11606619858573375,ornstein-uhlenbeck,False,True,PRUNED
66,1.7878131866455078,2020-06-23 08:04:00.563753,2020-06-23 08:07:43.348485,0 days 00:03:42.784732000,64,0.9,7.743275097217149e-05,100000,0.23937585901621383,ornstein-uhlenbeck,False,True,COMPLETE
67,1.6055625677108765,2020-06-23 08:07:43.350248,2020-06-23 08:15:00.862782,0 days 00:07:17.512534000,256,0.9999,5.704489540707361e-05,100000,0.379083305539157,adaptive-param,False,True,COMPLETE
68,1.550282597541809,2020-06-23 08:15:00.864559,2020-06-23 08:18:23.129177,0 days 00:03:22.264618000,16,0.999,1.0312107279451768e-05,100000,0.04023028441932519,ornstein-uhlenbeck,False,True,COMPLETE
69,2.7995495796203613,2020-06-23 08:18:23.130947,2020-06-23 08:22:28.927676,0 days 00:04:05.796729000,128,0.9999,3.9163231755718326e-05,100000,0.33458654749618494,ornstein-uhlenbeck,False,True,COMPLETE
70,1.7443166971206665,2020-06-23 08:22:28.929482,2020-06-23 08:25:54.311866,0 days 00:03:25.382384000,32,0.99,1.2854922835437618e-05,100000,0.41705287577243416,normal,False,False,COMPLETE
71,1.516788363456726,2020-06-23 08:25:54.313660,2020-06-23 08:30:35.445147,0 days 00:04:41.131487000,128,0.9999,0.0001249047777138535,100000,0.21468591378478882,normal,True,True,COMPLETE
72,2.293846607208252,2020-06-23 08:30:35.446872,2020-06-23 08:35:17.958299,0 days 00:04:42.511427000,128,0.9999,4.3468755611039664e-05,100000,0.14263175683205476,normal,True,True,COMPLETE
73,0.946267306804657,2020-06-23 08:35:17.960108,2020-06-23 08:40:03.278191,0 days 00:04:45.318083000,128,0.9999,2.8108241875137316e-05,100000,0.17476174260449545,normal,True,True,COMPLETE
74,0.9762150049209595,2020-06-23 08:40:03.280014,2020-06-23 08:44:47.692398,0 days 00:04:44.412384000,128,0.9999,1.964698881422828e-05,100000,0.1746735223894901,normal,True,True,COMPLETE
75,1.1327091455459595,2020-06-23 08:44:47.694235,2020-06-23 08:49:34.107181,0 days 00:04:46.412946000,128,0.9999,1.9494821361106103e-05,100000,0.04683850538347535,normal,True,True,COMPLETE
76,1.5661425590515137,2020-06-23 08:49:34.108998,2020-06-23 08:54:19.790458,0 days 00:04:45.681460000,128,0.9999,2.05691133030858e-05,100000,0.0629317840492465,normal,True,True,COMPLETE
77,4.202364921569824,2020-06-23 08:54:19.792354,2020-06-23 08:56:04.897464,0 days 00:01:45.105110000,128,0.9999,0.005860641771185297,100000,0.10560487028570155,normal,True,True,PRUNED
78,1.2159342765808105,2020-06-23 08:56:05.081055,2020-06-23 09:00:49.621026,0 days 00:04:44.539971000,128,0.9999,2.7712036889272915e-05,100000,0.03946384820886112,normal,True,True,COMPLETE
79,1.1338210105895996,2020-06-23 09:00:49.622951,2020-06-23 09:05:34.742606,0 days 00:04:45.119655000,128,0.9999,1.678888086470981e-05,100000,0.2599406382426401,normal,True,True,COMPLETE
80,1.7833757400512695,2020-06-23 09:05:34.744497,2020-06-23 09:10:21.527631,0 days 00:04:46.783134000,128,0.9999,3.092347737107365e-05,100000,0.16974096039284778,normal,True,True,COMPLETE
81,1.79176926612854,2020-06-23 09:10:21.529566,2020-06-23 09:15:07.848122,0 days 00:04:46.318556000,128,0.9999,1.6719142635923774e-05,100000,0.25801506433211185,normal,True,True,COMPLETE
82,1.6764466762542725,2020-06-23 09:15:07.849996,2020-06-23 09:19:53.123543,0 days 00:04:45.273547000,128,0.9999,1.39098843086818e-05,100000,0.2824453352493478,normal,True,True,COMPLETE
83,1.9688796997070312,2020-06-23 09:19:53.125425,2020-06-23 09:24:36.762330,0 days 00:04:43.636905000,128,0.9999,2.0586893860059157e-05,100000,0.12446094825809476,normal,True,True,COMPLETE
84,1.9913311004638672,2020-06-23 09:24:36.764236,2020-06-23 09:29:18.560346,0 days 00:04:41.796110000,128,0.9999,6.622879023232107e-05,100000,0.19147307294472196,normal,True,True,COMPLETE
85,1.4856722354888916,2020-06-23 09:29:18.562285,2020-06-23 09:34:02.134362,0 days 00:04:43.572077000,128,0.98,2.8427165898214526e-05,100000,0.09062494620179087,normal,True,True,COMPLETE
86,3.4434523582458496,2020-06-23 09:34:02.136268,2020-06-23 09:39:29.372384,0 days 00:05:27.236116000,256,0.999,4.573209429723211e-05,100000,0.2411136242598662,normal,True,True,COMPLETE
87,3.0111095905303955,2020-06-23 09:39:29.374305,2020-06-23 09:45:55.558663,0 days 00:06:26.184358000,128,0.9999,1.275844720839581e-05,100000,0.2136254994382338,adaptive-param,True,True,COMPLETE
88,2.4343295097351074,2020-06-23 09:45:55.560669,2020-06-23 09:50:17.460530,0 days 00:04:21.899861000,64,0.9999,1.9657518804247238e-05,100000,0.13729112954535683,normal,True,True,COMPLETE
89,1.2817937135696411,2020-06-23 09:50:17.462489,2020-06-23 09:54:59.982375,0 days 00:04:42.519886000,128,0.95,9.337420599633543e-05,10000,0.16584333629845582,normal,True,True,COMPLETE
90,4.088288307189941,2020-06-23 09:54:59.984351,2020-06-23 10:02:57.750031,0 days 00:07:57.765680000,256,0.995,3.4485079369706655e-05,100000,0.31194992137591726,adaptive-param,True,True,COMPLETE
91,1.5198317766189575,2020-06-23 10:02:57.752006,2020-06-23 10:06:56.981631,0 days 00:03:59.229625000,16,0.9,1.0619948967835976e-05,1000000,0.4485434548083901,normal,True,True,COMPLETE
92,1.441418170928955,2020-06-23 10:06:56.983604,2020-06-23 10:10:58.855294,0 days 00:04:01.871690000,16,0.9,1.6446858716374895e-05,100000,0.4559627146096077,ornstein-uhlenbeck,True,True,COMPLETE
93,3.409797191619873,2020-06-23 10:10:58.857283,2020-06-23 10:15:08.861621,0 days 00:04:10.004338000,128,0.98,2.342964536935298e-05,100000,0.34294673896523,normal,False,True,COMPLETE
94,2.228910207748413,2020-06-23 10:15:08.863600,2020-06-23 10:19:09.024240,0 days 00:04:00.160640000,16,0.9999,1.3267557822795557e-05,100000,0.3582508934505334,ornstein-uhlenbeck,True,True,COMPLETE
95,1.6447627544403076,2020-06-23 10:19:09.026251,2020-06-23 10:23:58.731083,0 days 00:04:49.704832000,128,0.999,1.0226005885068532e-05,1000000,0.3916528867759174,normal,True,True,COMPLETE
96,1.3101342916488647,2020-06-23 10:23:58.733147,2020-06-23 10:27:22.551709,0 days 00:03:23.818562000,16,0.9,1.004459264515277e-05,100000,0.40685036885878234,ornstein-uhlenbeck,False,True,COMPLETE
97,1.7031949758529663,2020-06-23 10:27:22.553720,2020-06-23 10:33:54.441162,0 days 00:06:31.887442000,128,0.99,2.542090056731712e-05,100000,0.5172210654770648,adaptive-param,True,False,COMPLETE
98,1.762312650680542,2020-06-23 10:33:54.443267,2020-06-23 10:39:00.641048,0 days 00:05:06.197781000,256,0.9999,0.0013208988708173876,100000,0.010361281768139885,ornstein-uhlenbeck,False,True,COMPLETE
99,1.1654956340789795,2020-06-23 10:39:00.643088,2020-06-23 10:43:08.786622,0 days 00:04:08.143534000,16,0.9,1.6332942650897033e-05,100000,0.06132382860791135,normal,True,True,COMPLETE
